Country,Views
United States,2173
India,1445
United Kingdom,201
Canada,130
Netherlands,113
Australia,71
Singapore,52
Philippines,24
European Union,15
Ireland,14
United Arab Emirates,12
Colombia,11
Brazil,10
Russia,9
Czech Republic,8
Lebanon,8
Vietnam,8
Hong Kong SAR China,8
New Zealand,7
Turkey,6
Germany,6
Sweden,6
South Africa,5
Switzerland,5
Indonesia,5
Pakistan,4
South Korea,4
Spain,3
Namibia,3
Nigeria,3
Qatar,3
Malaysia,3
Slovenia,3
Romania,3
Hungary,3
Costa Rica,2
Suriname,2
Ukraine,2
Saudi Arabia,2
Nepal,2
Jamaica,1
Israel,1
Bulgaria,1
Kenya,1
Norway,1
Bahamas,1
Finland,1
Ecuador,1
Belgium,1
Austria,1
Estonia,1
Mexico,1
Greece,1
Isle of Man,1
Ghana,1
Portugal,1
China,1
Thailand,1
Sri Lanka,1
Bangladesh,1
Latvia,1
Serbia,1
Macedonia,1
,
,
,
